Sample_ID	Plate	Well	no_sample	BOX	BOX_Well
A8935666-6	1	A01	NA	1	A01
A7777991-6	1	A02	NA	1	A02
E5448253-5	1	A03	NA	1	A03
E4731605-5	1	A04	NA	1	A04
A7615231-6	1	A05	NA	1	A05
A7631697-6	1	A06	NA	1	A06
E5041690-5	1	A07	NA	1	A07
A8736565-6	1	A08	NA	1	A08
A7612286-6	1	A09	NA	1	A09
A7160919-6	1	A10	NA	1	I1
A7796970-6	1	A11	NA	1	I2
E6117730-5	1	A12	NA	1	I3
A8247879-6	1	B01	NA	1	B01
E4967055-5	1	B02	NA	1	B02
A7778007-6	1	B03	NA	1	B03
A8791194-6	1	B04	NA	1	B04
E4731629-5	1	B05	NA	1	B05
A9171344-6	1	B06	NA	1	B06
A8070125-20	1	B07	NA	1	B07
A8539123-6	1	B08	NA	1	B08
E4859940-5	1	B09	NA	1	B09
A7777990-6	1	B10	NA	1	I4
A7643044-6	1	B11	NA	1	I5
A8287300-6	1	B12	NA	1	I6
A7983887-6	1	C01	NA	1	C01
A7778009-6	1	C02	NA	1	C02
E4893223-5	1	C03	NA	1	C03
A8082740-6	1	C04	NA	1	C04
A8801590-6	1	C05	NA	1	C05
E4967078-5	1	C06	NA	1	C06
A7990089-6	1	C07	NA	1	C07
MOCK1	1	C08	NA	1	C08
A7575521-6	1	C09	NA	1	C09
A8271463-6	1	C10	NA	1	I7
A7129422-6	1	C11	NA	1	I8
A8143476-6	1	C12	NA	1	I9
E5448235-5	1	D01	NA	1	D01
A7959504-6	1	D02	NA	1	D02
E5333658-5	1	D03	NA	1	D03
E4859960-5	1	D04	NA	1	D04
E5975087-5	1	D05	NA	1	D05
A7160941-6	1	D06	NA	1	D06
E4893216-5	1	D07	NA	1	D07
E5379128-8	1	D08	NA	1	D08
A8108618-6	1	D09	NA	1	D09
A9113516-6	1	D10	NA	1	Loose
A8287283-6	1	D11	NA	1	Loose
A7998347-6	1	D12	NA	1	Loose
A7110685-6	1	E01	NA	1	E01
NEGATIVE1	1	E02	NA	1	E02
E4893201-5	1	E03	NA	1	E03
A7160971-6	1	E04	NA	1	E04
A8349512-6	1	E05	NA	1	E05
A7778013-6	1	E06	NA	1	E06
E4731604-5	1	E07	NA	1	E07
A7942221-6	1	E08	NA	1	E08
A8287509-6	1	E09	NA	1	E09
E5041711-5	1	E10	NA	1	Loose
A7129597-6	1	E11	NA	1	Loose
E4830978-5	1	E12	NA	1	Loose
A8406089-6	1	F01	NA	1	F01
A7160992-6	1	F02	NA	1	F02
A8378385-6	1	F03	NA	1	F03
E4859966-5	1	F04	NA	1	F04
