Sample_ID	Plate	Well	no_sample	BOX	BOX_Well
E5299689-5	1	F05	NA	1	F05
A8271458-6	1	F06	NA	1	F06
A8015573-6	1	F07	NA	1	F07
E5448259-5	1	F08	NA	1	F08
E4934570-5	1	F09	NA	1	F09
A7129429-6	1	F10	NA	1	Loose
A9113515-6	1	F11	NA	1	Loose
A8638455-6	1	F12	NA	1	Loose
A7612268-6	1	G01	NA	1	G01
A7684348-6	1	G02	NA	1	G02
S1726496-5	1	G03	NA	1	G03
E4731622-5	1	G04	NA	1	G04
S1464456-5	1	G05	NA	1	G05
A7983892-6	1	G06	NA	1	G06
A7769356-6	1	G07	NA	1	G07
E4731628-5	1	G08	NA	1	G08
E5299684-5	1	G09	NA	1	G09
A8287306-6	1	G10	NA	1	Loose
S1725769-5	1	G11	NA	1	Loose
A7706989-6	1	G12	NA	1	Loose
E5265828-5	1	H01	NA	1	H01
A7612279-6	1	H02	NA	1	H02
A7447497-6	1	H03	NA	1	H03
A7778014-6	1	H04	NA	1	H04
A7129431-6	1	H05	NA	1	H05
A8271450-6	1	H06	NA	1	H06
E4967070-5	1	H07	NA	1	H07
E5217874-5	1	H08	NA	1	H08
A7160998-6	1	H09	NA	1	H09
S1726494-5	1	H10	NA	1	Loose
A9118082-6	1	H11	no_sample	1	Loose
A8221191-6	1	H12	NA	1	Loose
E4889531-5	2	A01	NA	2	A01
A7846340-6	2	A02	NA	2	A02
A7631702-6	2	A03	NA	2	A03
A8683046-6	2	A04	NA	2	A04
E5120990-5	2	A05	NA	2	A05
A8134113-6	2	A06	NA	2	A06
A7901103-6	2	A07	NA	2	A07
E4889513-5	2	A08	NA	2	A08
A8253153-6	2	A09	NA	2	A09
A8134147-6	2	A10	NA	2	I1
E5754172-5	2	A11	NA	2	I2
A7614207-6	2	A12	NA	2	I3
A7208206-6	2	B01	NA	2	B01
E5514958-5	2	B02	NA	2	B02
A7360451-6	2	B03	NA	2	B03
A7575522-6	2	B04	NA	2	B04
A8454845-6	2	B05	NA	2	B05
E5669451-5	2	B06	NA	2	B06
A7828664-6	2	B07	NA	2	B07
A7889982-6	2	B08	NA	2	B08
A8288926-6	2	B09	NA	2	B09
A8549214-6	2	B10	NA	2	I4
A8225128-6	2	B11	NA	2	I5
E4967455-5	2	B12	NA	2	I6
E4869655-5	2	C01	NA	2	C01
E5299173-5	2	C02	NA	2	C02
A7360444-6	2	C03	NA	2	C03
S1725770-5	2	C04	NA	2	C04
MOCK2	2	C05	NA	2	C05
A8796715-7	2	C06	NA	2	C06
A8303234-6	2	C07	NA	2	C07
E4967795-5	2	C08	NA	2	C08
NEGATIVE2	2	C09	NA	2	C09
A8048025-6	2	C10	NA	2	I7
A7146045-6	2	C11	NA	2	I8
A8288261-6	2	C12	NA	2	I9
A8397601-6	2	D01	NA	2	D01
E5623131-5	2	D02	NA	2	D02
E5195246-5	2	D03	NA	2	D03
A8179219-6	2	D04	NA	2	D04
A7869740-6	2	D05	NA	2	D05
A8288612-6	2	D06	NA	2	D06
S1464457-5	2	D07	NA	2	D07
A8450225-6	2	D08	NA	2	D08
A7787783-6	2	D09	no_sample	2	D09
A8179218-6	2	D10	NA	2	Loose
A8423474-6	2	D11	NA	2	Loose
E5447888-5	2	D12	NA	2	Loose
E4967441-5	2	E01	NA	2	E01
A7208229-6	2	E02	NA	2	E02
E5279468-5	2	E03	NA	2	E03
A7975880-6	2	E04	NA	2	E04
S1464477-5	2	E05	no_sample	2	E05
A7335973-6	2	E06	NA	2	E06
A8307570-6	2	E07	NA	2	E07
E4889536-5	2	E08	NA	2	E08
A8683047-6	2	E09	NA	2	E09
E5740777-5	2	E10	NA	2	Loose
A7787763-6	2	E11	NA	2	Loose
A7795346-6	2	E12	NA	2	Loose
A7893419-6	2	F01	NA	2	F01
A8165705-6	2	F02	NA	2	F02
A7631710-6	2	F03	NA	2	F03
A7208222-6	2	F04	NA	2	F04
A7335951-6	2	F05	NA	2	F05
A8454816-6	2	F06	NA	2	F06
A8165717-6	2	F07	NA	2	F07
E5722610-5	2	F08	NA	2	F08
A8048049-6	2	F09	NA	2	F09
A7975662-6	2	F10	NA	2	Loose
A7959491-6	2	F11	NA	2	Loose
E5669469-5	2	F12	NA	2	Loose
A7146070-6	2	G01	NA	2	G01
E4967776-5	2	G02	NA	2	G02
A7795364-6	2	G03	NA	2	G03
A7479678-6	2	G04	NA	2	G04
A7869718-6	2	G05	NA	2	G05
A8618346-6	2	G06	NA	2	G06
E4808842-5	2	G07	NA	2	G07
A8048028-4	2	G08	NA	2	G08
A8387939-6	2	G09	NA	2	G09
A7998576-6	2	G10	NA	2	Loose
A8105052-6	2	G11	NA	2	Loose
A8406085-6	2	G12	NA	2	Loose
S1464454-5	2	H01	NA	2	H01
A7787789-6	2	H02	NA	2	H02
E5641023-5	2	H03	NA	2	H03
A7970150-6	2	H04	NA	2	H04
A7360428-6	2	H05	NA	2	H05
A7144250-6	2	H06	NA	2	H06
E5740766-5	2	H07	NA	2	H07
E4967461-5	2	H08	NA	2	H08
S1464471-5	2	H09	NA	2	H09
A7335967-6	2	H10	NA	2	Loose
A8417024-6	2	H11	NA	2	Loose
A8796717-6	2	H12	NA	2	Loose
A7101715-6	3	A01	NA	3	A01
A7684345-6	3	A02	NA	3	A02
A8622028-6	3	A03	NA	3	A03
E5253138-5	3	A04	NA	3	A04
A8246951-6	3	A05	NA	3	A05
A7111927-6	3	A06	NA	3	A06
A8426606-6	3	A07	NA	3	A07
E5706736-18	3	A08	NA	3	A08
A8258672-6	3	A09	NA	3	A09
E5771418-5	3	A10	NA	3	I1
A7360357-6	3	A11	NA	3	I2
A8221189-6	3	A12	NA	3	I3
A7538006-6	3	B01	NA	3	B01
A7299265-6	3	B02	NA	3	B02
A8070132-3	3	B03	NA	3	B03
E5864051-5	3	B04	NA	3	B04
A7299240-6	3	B05	no_sample	3	B05
A8082592-6	3	B06	NA	3	B06
A8549193-6	3	B07	NA	3	B07
E4836823-5	3	B08	NA	3	B08
E4889577-5	3	B09	NA	3	B09
A7872640-6	3	B10	NA	3	I4
A8246926-6	3	B11	NA	3	I5
A7299258-6	3	B12	NA	3	I6
E4761275-5	3	C01	NA	3	C01
A7796974-6	3	C02	NA	3	C02
A8622019-6	3	C03	NA	3	C03
A7537999-6	3	C04	NA	3	C04
A7111948-6	3	C05	NA	3	C05
A7118046-6	3	C06	NA	3	C06
A8058231-6	3	C07	NA	3	C07
A7540376-6	3	C08	NA	3	C08
A7111944-6	3	C09	NA	3	C09
A9230878-6	3	C10	NA	3	I7
A7143456-6	3	C11	NA	3	I8
A7684417-6	3	C12	NA	3	I9
A8115740-6	3	D01	NA	3	D01
E5507958-5	3	D02	NA	3	D02
E5507954-5	3	D03	NA	3	D03
A7538004-6	3	D04	NA	3	D04
E4992962-5	3	D05	NA	3	D05
A9040220-6	3	D06	NA	3	D06
A8932091-6	3	D07	NA	3	D07
A7662741-6	3	D08	NA	3	D08
A7942219-6	3	D09	NA	3	D09
A7965387-6	3	D10	NA	3	Loose
E4992955-5	3	D11	NA	3	Loose
A7872657-6	3	D12	NA	3	Loose
E5042138-5	3	E01	NA	3	E01
A8263888-6	3	E02	NA	3	E02
A8115742-6	3	E03	NA	3	E03
A8539122-6	3	E04	NA	3	E04
E5167427-18	3	E05	NA	3	E05
A7118069-6	3	E06	NA	3	E06
E4705691-5	3	E07	NA	3	E07
A7925984-6	3	E08	NA	3	E08
A7101721-6	3	E09	NA	3	E09
E4889570-8	3	E10	NA	3	Loose
E5217728-5	3	E11	NA	3	Loose
E5253165-5	3	E12	NA	3	Loose
A8339516-6	3	F01	NA	3	F01
A7360340-6	3	F02	NA	3	F02
A7161019-6	3	F03	NA	3	F03
A7578771-6	3	F04	NA	3	F04
E4836830-5	3	F05	NA	3	F05
E4761281-5	3	F06	NA	3	F06
A8582787-6	3	F07	NA	3	F07
A8007402-6	3	F08	NA	3	F08
A8932090-6	3	F09	NA	3	F09
A7540381-6	3	F10	NA	3	Loose
E5507944-5	3	F11	NA	3	Loose
A8246934-6	3	F12	NA	3	Loose
E5285888-5	3	G01	NA	3	G01
A8082599-6	3	G02	NA	3	G02
A8755385-6	3	G03	NA	3	G03
A8143531-6	3	G04	NA	3	G04
NEGATIVE3	3	G05	NA	3	G05
A8755387-6	3	G06	NA	3	G06
E5559688-5	3	G07	NA	3	G07
A8105077-9	3	G08	NA	3	G08
A8683048-6	3	G09	NA	3	G09
A7575518-6	3	G10	NA	3	Loose
MOCK3	3	G11	NA	3	Loose
E4705717-5	3	G12	NA	3	Loose
A7101699-6	3	H01	NA	3	H01
A8082573-6	3	H02	NA	3	H02
E4992940-2	3	H03	NA	3	H03
A7631709-6	3	H04	NA	3	H04
A7684382-6	3	H05	NA	3	H05
A8750463-9	3	H06	NA	3	H06
A8585944-6	3	H07	NA	3	H07
A7360363-6	3	H08	NA	3	H08
E5253158-5	3	H09	NA	3	H09
A8165706-6	3	H10	NA	3	Loose
A8246938-6	3	H11	NA	3	Loose
A8034685-6	3	H12	NA	3	Loose
MOCK4	4	A01	NA	4	A01
E5339749-5	4	A02	NA	4	A02
E5203575-5	4	A03	NA	4	A03
A8191463-6	4	A04	NA	4	A04
E5900014-5	4	A05	NA	4	A05
A8308029-6	4	A06	NA	4	A06
A8673407-6	4	A07	NA	4	A07
A8501953-6	4	A08	NA	4	A08
E6265819-5	4	A09	NA	4	A09
E4748717-5	4	A10	NA	4	I1
A7846339-6	4	A11	NA	4	I2
E4809137-5	4	A12	NA	4	I3
A7129566-6	4	B01	NA	4	B01
A7269590-6	4	B02	NA	4	B02
A7746661-6	4	B03	NA	4	B03
A7706774-6	4	B04	NA	4	B04
A7208221-6	4	B05	NA	4	B05
A7879342-6	4	B06	NA	4	B06
E5677167-5	4	B07	NA	4	B07
E5926150-5	4	B08	NA	4	B08
A8501963-6	4	B09	NA	4	B09
E5041689-5	4	B10	NA	4	I4
A8257359-6	4	B11	NA	4	I5
E5217897-5	4	B12	NA	4	I6
A8567754-6	4	C01	NA	4	C01
A8668172-6	4	C02	NA	4	C02
E5339745-5	4	C03	NA	4	C03
E5203599-5	4	C04	NA	4	C04
E5017441-5	4	C05	NA	4	C05
E4870457-5	4	C06	NA	4	C06
E4817416-8	4	C07	no_sample	4	C07
E5041713-5	4	C08	NA	4	C08
A7645667-6	4	C09	NA	4	C09
A8567761-6	4	C10	NA	4	I7
A9276834-6	4	C11	NA	4	I8
A7684415-6	4	C12	NA	4	I9
E5024056-5	4	D01	NA	4	D01
A7684416-6	4	D02	NA	4	D02
E4883013-5	4	D03	NA	4	D03
A8413618-3	4	D04	NA	4	D04
A7645849-6	4	D05	NA	4	D05
A7684390-6	4	D06	NA	4	D06
E4737825-5	4	D07	NA	4	D07
E5379465-5	4	D08	NA	4	D08
E4889592-5	4	D09	NA	4	D09
A7208204-6	4	D10	NA	4	Loose
E5217761-5	4	D11	NA	4	Loose
A7684381-4	4	D12	NA	4	Loose
E4883007-5	4	E01	no_sample	4	E01
A7208228-6	4	E02	NA	4	E02
A7145831-6	4	E03	NA	4	E03
E5417629-5	4	E04	NA	4	E04
E4809156-5	4	E05	NA	4	E05
E5509025-5	4	E06	NA	4	E06
A8263887-6	4	E07	NA	4	E07
E5203593-5	4	E08	NA	4	E08
A7252753-4	4	E09	NA	4	E09
A7684383-6	4	E10	NA	4	Loose
E5198505-5	4	E11	NA	4	Loose
E4962937-5	4	E12	NA	4	Loose
A7684394-6	4	F01	NA	4	F01
E5017465-5	4	F02	NA	4	F02
E5475713-5	4	F03	NA	4	F03
A7645835-6	4	F04	no_sample	4	F04
E5947306-5	4	F05	NA	4	F05
E5662110-5	4	F06	NA	4	F06
A7933355-6	4	F07	NA	4	F07
E5497852-5	4	F08	NA	4	F08
A7145812-6	4	F09	NA	4	F09
E4859965-5	4	F10	NA	4	Loose
E5320247-5	4	F11	NA	4	Loose
E4817421-8	4	F12	no_sample	4	Loose
E5041688-5	4	G01	NA	4	G01
A7335950-6	4	G02	NA	4	G02
E4809162-5	4	G03	NA	4	G03
NEGATIVE4	4	G04	NA	4	G04
A9011908-6	4	G05	NA	4	G05
A7269606-6	4	G06	NA	4	G06
A7631693-18	4	G07	NA	4	G07
A7918418-6	4	G08	NA	4	G08
E5712730-5	4	G09	NA	4	G09
E5417605-5	4	G10	NA	4	Loose
A8540786-6	4	G11	NA	4	Loose
E4882990-5	4	G12	NA	4	Loose
E4868434-5	4	H01	NA	4	H01
E5417627-5	4	H02	NA	4	H02
A7684347-6	4	H03	NA	4	H03
E4824862-5	4	H04	NA	4	H04
E5339759-5	4	H05	NA	4	H05
A8413630-6	4	H06	NA	4	H06
E5631783-5	4	H07	NA	4	H07
A7129546-6	4	H08	NA	4	H08
A7631700-6	4	H09	NA	4	H09
A8191434-6	4	H10	NA	4	Loose
A7129573-6	4	H11	NA	4	Loose
E5379169-5	4	H12	NA	4	Loose
A7578750-6	5	A01	NA	5	A01
A7578765-6	5	A02	NA	5	A02
E5362414-5	5	A03	NA	5	A03
E5195245-5	5	A04	NA	5	A04
A7745041-6	5	A05	NA	5	A05
E5641038-5	5	A06	NA	5	A06
A9148471-6	5	A07	NA	5	A07
A8191475-19	5	A08	NA	5	A08
A8499860-6	5	A09	NA	5	A09
A7198792-6	5	A10	NA	5	I1
A8225055-6	5	A11	NA	5	I2
A7829811-6	5	A12	NA	5	I3
A7795298-6	5	B01	NA	5	B01
A8248383-6	5	B02	NA	5	B02
E4868258-5	5	B03	NA	5	B03
A8594456-3	5	B04	NA	5	B04
A7198774-6	5	B05	NA	5	B05
A7998342-6	5	B06	NA	5	B06
E4809155-5	5	B07	NA	5	B07
E5217647-5	5	B08	NA	5	B08
E5461713-4	5	B09	NA	5	B09
A7198817-6	5	B10	NA	5	I4
A7198841-6	5	B11	NA	5	I5
E5217919-5	5	B12	NA	5	I6
A8908344-6	5	C01	NA	5	C01
A8454843-6	5	C02	NA	5	C02
A7829807-6	5	C03	NA	5	C03
E5647315-5	5	C04	NA	5	C04
E6166073-5	5	C05	NA	5	C05
E4868274-5	5	C06	NA	5	C06
E5299172-5	5	C07	NA	5	C07
A8442349-6	5	C08	NA	5	C08
E4817397-6	5	C09	NA	5	C09
A8143507-6	5	C10	NA	5	I7
A7537574-6	5	C11	NA	5	I8
E4889515-5	5	C12	NA	5	I9
A7160918-6	5	D01	NA	5	D01
A8499848-6	5	D02	NA	5	D02
A7578772-6	5	D03	NA	5	D03
A8599607-6	5	D04	NA	5	D04
A8443375-6	5	D05	NA	5	D05
A8232418-6	5	D06	NA	5	D06
A8225083-6	5	D07	NA	5	D07
A8048051-6	5	D08	NA	5	D08
A8339280-6	5	D09	NA	5	D09
E5217653-5	5	D10	NA	5	Loose
E4859889-5	5	D11	NA	5	Loose
E4958813-5	5	D12	NA	5	Loose
E5553674-5	5	E01	NA	5	E01
A7787836-6	5	E02	NA	5	E02
NEGATIVE5	5	E03	NA	5	E03
A7841617-6	5	E04	NA	5	E04
E4816846-5	5	E05	NA	5	E05
E5824026-5	5	E06	NA	5	E06
A7745042-6	5	E07	NA	5	E07
E4859897-5	5	E08	NA	5	E08
A8177495-19	5	E09	NA	5	E09
A7841257-5	5	E10	NA	5	Loose
E4817422-6	5	E11	NA	5	Loose
A8494321-6	5	E12	NA	5	Loose
E5146520-5	5	F01	NA	5	F01
E5461714-5	5	F02	NA	5	F02
E4889538-5	5	F03	NA	5	F03
A7198810-16	5	F04	NA	5	F04
A8499859-6	5	F05	NA	5	F05
E4809135-5	5	F06	NA	5	F06
E5647323-5	5	F07	NA	5	F07
A8271451-6	5	F08	NA	5	F08
A8479648-6	5	F09	NA	5	F09
E5146543-5	5	F10	NA	5	Loose
A8411872-6	5	F11	NA	5	Loose
A8638460-6	5	F12	NA	5	Loose
A8183067-6	5	G01	NA	5	G01
A7795326-6	5	G02	NA	5	G02
A8143497-6	5	G03	NA	5	G03
E4958925-5	5	G04	NA	5	G04
A8471318-6	5	G05	NA	5	G05
A7795318-6	5	G06	NA	5	G06
MOCK5	5	G07	NA	5	G07
E4962944-5	5	G08	NA	5	G08
A8070132-6	5	G09	NA	5	G09
E5647301-5	5	G10	NA	5	Loose
A7198797-6	5	G11	NA	5	Loose
A8048026-6	5	G12	NA	5	Loose
E5313442-5	5	H01	NA	5	H01
A8287507-6	5	H02	NA	5	H02
A7578773-6	5	H03	NA	5	H03
E5253157-5	5	H04	NA	5	H04
S1472679-15	5	H05	NA	5	H05
A8225090-6	5	H06	NA	5	H06
E5146538-5	5	H07	NA	5	H07
A7787851-6	5	H08	NA	5	H08
A7117631-6	5	H09	NA	5	H09
A8287532-8	5	H10	NA	5	Loose
E5073639-5	5	H11	NA	5	Loose
A8371296-6	5	H12	NA	5	Loose
A8702998-6	6	A01	NA	6	A01
A7578718-6	6	A02	NA	6	A02
A8406084-6	6	A03	NA	6	A03
E5488793-5	6	A04	NA	6	A04
A7129544-6	6	A05	NA	6	A05
A8134116-6	6	A06	NA	6	A06
A7161053-6	6	A07	NA	6	A07
A8056615-6	6	A08	NA	6	A08
A8236734-6	6	A09	NA	6	A09
A9171343-6	6	A10	NA	6	I1
E5041485-5	6	A11	NA	6	I2
NEGATIVE6	6	A12	NA	6	I3
A8448552-6	6	B01	NA	6	B01
MOCK6	6	B02	NA	6	B02
A8339281-6	6	B03	NA	6	B03
E6125199-5	6	B04	NA	6	B04
E5623133-5	6	B05	NA	6	B05
A7983872-6	6	B06	NA	6	B06
E5712731-5	6	B07	NA	6	B07
E4748716-5	6	B08	NA	6	B08
A7605598-6	6	B09	NA	6	B09
A8134112-6	6	B10	NA	6	I4
A7897514-6	6	B11	NA	6	I5
A7129595-6	6	B12	NA	6	I6
A8713889-6	6	C01	NA	6	C01
A8693446-6	6	C02	NA	6	C02
A8056590-6	6	C03	NA	6	C03
E5217899-5	6	C04	NA	6	C04
A7684349-6	6	C05	NA	6	C05
E4868433-5	6	C06	NA	6	C06
A7146068-6	6	C07	NA	6	C07
A8437301-6	6	C08	NA	6	C08
A7914464-6	6	C09	NA	6	C09
A8143499-6	6	C10	NA	6	I7
S1464785-5	6	C11	NA	6	I8
E5041500-5	6	C12	NA	6	I9
A8007401-6	6	D01	NA	6	D01
E5417630-5	6	D02	NA	6	D02
A7335952-6	6	D03	NA	6	D03
E5450074-5	6	D04	NA	6	D04
A8448532-6	6	D05	NA	6	D05
E4911937-5	6	D06	NA	6	D06
E5041502-5	6	D07	NA	6	D07
A8481471-6	6	D08	NA	6	D08
A8638454-6	6	D09	NA	6	D09
A8088052-6	6	D10	NA	6	Loose
E4824859-5	6	D11	NA	6	Loose
A7901102-6	6	D12	NA	6	Loose
A7299243-5	6	E01	NA	6	E01
A8056609-6	6	E02	NA	6	E02
E5930828-5	6	E03	NA	6	E03
A7129567-6	6	E04	NA	6	E04
A8908342-6	6	E05	NA	6	E05
A8442353-6	6	E06	NA	6	E06
E4859987-5	6	E07	NA	6	E07
E5041507-5	6	E08	NA	6	E08
E5444957-5	6	E09	NA	6	E09
E5362861-18	6	E10	NA	6	Loose
E5533871-5	6	E11	NA	6	Loose
E5041687-5	6	E12	NA	6	Loose
A7299260-6	6	F01	NA	6	F01
A7146062-6	6	F02	NA	6	F02
A8238622-6	6	F03	NA	6	F03
E4896052-5	6	F04	NA	6	F04
E5041649-5	6	F05	NA	6	F05
A8437275-6	6	F06	NA	6	F06
A8015555-6	6	F07	NA	6	F07
E4868427-5	6	F08	NA	6	F08
E5217630-5	6	F09	NA	6	F09
E5450034-5	6	F10	NA	6	Loose
A8448558-6	6	F11	NA	6	Loose
A7969503-6	6	F12	NA	6	Loose
E5607778-5	6	G01	NA	6	G01
A7129574-6	6	G02	NA	6	G02
EMPTY	6	G03	NA	6	G03
A8549218-6	6	G04	NA	6	G04
A7990113-6	6	G05	NA	6	G05
E4806097-5	6	G06	NA	6	G06
A8238604-6	6	G07	NA	6	G07
E5012010-5	6	G08	NA	6	G08
E5012022-5	6	G09	NA	6	G09
A7769376-6	6	G10	NA	6	Loose
E5386385-5	6	G11	NA	6	Loose
A7717339-6	6	G12	NA	6	Loose
A8021607-6	6	H01	NA	6	H01
E5041506-5	6	H02	NA	6	H02
E5203578-5	6	H03	NA	6	H03
E5568572-5	6	H04	NA	6	H04
A7598933-6	6	H05	NA	6	H05
E5758624-18	6	H06	NA	6	H06
A7969499-6	6	H07	NA	6	H07
E5012004-5	6	H08	NA	6	H08
E4967056-5	6	H09	NA	6	H09
A7146047-6	6	H10	NA	6	Loose
E4868409-5	6	H11	NA	6	Loose
A7299264-6	6	H12	NA	6	Loose
A7888695-6	7	A01	NA	7	A01
NEGATIVE7	7	A02	NA	7	A02
A7540375-6	7	A03	NA	7	A03
E5507972-5	7	A04	NA	7	A04
A8093737-6	7	A05	NA	7	A05
E4816866-5	7	A06	NA	7	A06
E5261374-5	7	A07	NA	7	A07
A7706990-6	7	A08	NA	7	A08
E4762223-8	7	A09	NA	7	A09
A8426602-6	7	A10	NA	7	I1
A8093728-6	7	A11	NA	7	I2
A7925975-6	7	A12	NA	7	I3
E5073926-5	7	B01	NA	7	B01
A8307573-6	7	B02	NA	7	B02
E5705172-5	7	B03	NA	7	B03
A8349518-6	7	B04	NA	7	B04
E5217960-5	7	B05	NA	7	B05
A8238621-6	7	B06	NA	7	B06
E4868281-5	7	B07	NA	7	B07
E5708878-5	7	B08	NA	7	B08
A8191462-6	7	B09	NA	7	B09
A8499847-6	7	B10	NA	7	I4
A8191458-6	7	B11	NA	7	I5
S1465863-5	7	B12	NA	7	I6
A7795803-6	7	C01	NA	7	C01
A7198929-6	7	C02	NA	7	C02
E5507955-5	7	C03	NA	7	C03
E4769633-5	7	C04	NA	7	C04
A7198922-6	7	C05	NA	7	C05
A9276833-6	7	C06	NA	7	C06
A8088053-6	7	C07	NA	7	C07
E5418127-5	7	C08	NA	7	C08
E5417610-5	7	C09	NA	7	C09
A7652718-3	7	C10	NA	7	I7
E4769608-4	7	C11	NA	7	I8
E4868276-5	7	C12	NA	7	I9
A7795804-6	7	D01	NA	7	D01
A7609959-6	7	D02	NA	7	D02
E5217977-5	7	D03	NA	7	D03
A7796973-6	7	D04	NA	7	D04
A8134150-6	7	D05	NA	7	D05
A7786538-6	7	D06	NA	7	D06
E4962942-5	7	D07	NA	7	D07
A8238629-6	7	D08	NA	7	D08
E4762205-5	7	D09	NA	7	D09
A8572950-7	7	D10	NA	7	Loose
E4796436-5	7	D11	NA	7	Loose
E5740765-5	7	D12	NA	7	Loose
E4816870-5	7	E01	NA	7	E01
E5711663-5	7	E02	NA	7	E02
E5313441-5	7	E03	NA	7	E03
A8378756-6	7	E04	NA	7	E04
A7609950-6	7	E05	NA	7	E05
A8191436-6	7	E06	NA	7	E06
E4796442-5	7	E07	NA	7	E07
A7451873-6	7	E08	NA	7	E08
E4995590-5	7	E09	NA	7	E09
E4755313-5	7	E10	NA	7	Loose
MOCK7	7	E11	NA	7	Loose
E4769628-5	7	E12	NA	7	Loose
E4762230-5	7	F01	NA	7	F01
EMPTY	7	F02	NA	7	F02
A8932089-6	7	F03	NA	7	F03
A8549233-9	7	F04	NA	7	F04
A7810937-6	7	F05	NA	7	F05
E5754170-5	7	F06	NA	7	F06
A8238602-6	7	F07	NA	7	F07
A7706988-6	7	F08	NA	7	F08
A7791350-6	7	F09	NA	7	F09
E5309164-5	7	F10	NA	7	Loose
A7540382-6	7	F11	NA	7	Loose
E5418144-5	7	F12	NA	7	Loose
A7933346-6	7	G01	NA	7	G01
A7888691-6	7	G02	NA	7	G02
A8456714-6	7	G03	NA	7	G03
A8040083-6	7	G04	NA	7	G04
A8626972-6	7	G05	NA	7	G05
E5339733-5	7	G06	NA	7	G06
E4755337-5	7	G07	NA	7	G07
A7869739-6	7	G08	NA	7	G08
A8078869-6	7	G09	NA	7	G09
A7915262-6	7	G10	NA	7	Loose
A7360427-6	7	G11	NA	7	Loose
E5073626-5	7	G12	NA	7	Loose
E5261377-5	7	H01	NA	7	H01
E5417598-5	7	H02	NA	7	H02
A8473145-6	7	H03	NA	7	H03
A7795786-6	7	H04	NA	7	H04
E5272863-1	7	H05	NA	7	H05
A8426605-6	7	H06	NA	7	H06
A7901105-6	7	H07	no_sample	7	H07
E4868259-5	7	H08	NA	7	H08
E6130089-5	7	H09	NA	7	H09
E4958791-5	7	H10	NA	7	Loose
E5514980-5	7	H11	NA	7	Loose
E5418148-5	7	H12	NA	7	Loose
A8264038-6	8	A01	NA	8	A01
A7933425-6	8	A02	NA	8	A02
E4859989-5	8	A03	NA	8	A03
A8517222-6	8	A04	NA	8	A04
A7786539-6	8	A05	NA	8	A05
A8307572-6	8	A06	NA	8	A06
A8140478-6	8	A07	NA	8	A07
E5740776-5	8	A08	NA	8	A08
E5906923-5	8	A09	NA	8	A09
A8450226-6	8	A10	NA	8	I1
E5711662-5	8	A11	NA	8	I2
NEGATIVE8	8	A12	NA	8	I3
A8450194-6	8	B01	NA	8	B01
E5382439-5	8	B02	NA	8	B02
A8148762-6	8	B03	NA	8	B03
E5146519-5	8	B04	NA	8	B04
E4860007-5	8	B05	NA	8	B05
A7787782-6	8	B06	NA	8	B06
