OTU	Classification	tax	Label
Otu00001	OTU1	Escherichia/Shigella	Escherichia/Shigella (OTU1)
Otu00002	OTU2	Bacteroides	Bacteroides (OTU2)
Otu00003	OTU3	Bacteroides	Bacteroides (OTU3)
Otu00004	OTU4	Blautia	Blautia (OTU4)
Otu00005	OTU5	Veillonella	Veillonella (OTU5)
Otu00006	OTU6	Prevotella	Prevotella (OTU6)
Otu00007	OTU7	Faecalibacterium	Faecalibacterium (OTU7)
Otu00008	OTU8	Bifidobacterium	Bifidobacterium (OTU8)
Otu00009	OTU9	Akkermansia	Akkermansia (OTU9)
Otu00010	OTU10	Enterobacteriaceae	Enterobacteriaceae (OTU10)
Otu00011	OTU11	Lachnospiraceae	Lachnospiraceae (OTU11)
Otu00012	OTU12	Roseburia	Roseburia (OTU12)
Otu00013	OTU13	Megasphaera	Megasphaera (OTU13)
Otu00014	OTU14	Fusobacterium	Fusobacterium (OTU14)
Otu00015	OTU15	Lactobacillus	Lactobacillus (OTU15)
Otu00016	OTU16	Anaerostipes	Anaerostipes (OTU16)
Otu00017	OTU17	Dialister	Dialister (OTU17)
Otu00018	OTU18	Streptococcus	Streptococcus (OTU18)
Otu00019	OTU19	Bacteroides	Bacteroides (OTU19)
Otu00020	OTU20	Blautia	Blautia (OTU20)
Otu00021	OTU21	Clostridium_XI	Clostridium_XI (OTU21)
Otu00022	OTU22	Clostridium_XI	Clostridium_XI (OTU22)
Otu00023	OTU23	Acidaminococcus	Acidaminococcus (OTU23)
Otu00024	OTU24	Pasteurellaceae	Pasteurellaceae (OTU24)
Otu00025	OTU25	Clostridium_XlVa	Clostridium_XlVa (OTU25)
Otu00026	OTU26	Clostridiales	Clostridiales (OTU26)
Otu00027	OTU27	Alistipes	Alistipes (OTU27)
Otu00028	OTU28	Dorea	Dorea (OTU28)
Otu00029	OTU29	Megasphaera	Megasphaera (OTU29)
Otu00030	OTU30	Anaeroglobus	Anaeroglobus (OTU30)
Otu00031	OTU31	Bacteroides	Bacteroides (OTU31)
Otu00032	OTU32	Blautia	Blautia (OTU32)
Otu00033	OTU33	Collinsella	Collinsella (OTU33)
Otu00034	OTU34	Lachnospiraceae	Lachnospiraceae (OTU34)
Otu00035	OTU35	Ruminococcus	Ruminococcus (OTU35)
Otu00036	OTU36	Clostridium_sensu_stricto	Clostridium_sensu_stricto (OTU36)
Otu00037	OTU37	Blautia	Blautia (OTU37)
Otu00038	OTU38	Lactobacillus	Lactobacillus (OTU38)
Otu00039	OTU39	Ruminococcus2	Ruminococcus2 (OTU39)
Otu00040	OTU40	Dorea	Dorea (OTU40)
Otu00041	OTU41	Phascolarctobacterium	Phascolarctobacterium (OTU41)
Otu00042	OTU42	Enterococcus	Enterococcus (OTU42)
Otu00043	OTU43	Bacteroides	Bacteroides (OTU43)
Otu00044	OTU44	Blautia	Blautia (OTU44)
Otu00045	OTU45	Alistipes	Alistipes (OTU45)
Otu00046	OTU46	Parabacteroides	Parabacteroides (OTU46)
Otu00047	OTU47	Ruminococcus2	Ruminococcus2 (OTU47)
Otu00048	OTU48	Clostridium_XI	Clostridium_XI (OTU48)
Otu00049	OTU49	Megamonas	Megamonas (OTU49)
