OTU	Classification	tax	Label
Otu00050	OTU50	Clostridium_sensu_stricto	Clostridium_sensu_stricto (OTU50)
Otu00051	OTU51	Lachnospiraceae	Lachnospiraceae (OTU51)
Otu00052	OTU52	Veillonella	Veillonella (OTU52)
Otu00053	OTU53	Ruminococcaceae	Ruminococcaceae (OTU53)
Otu00054	OTU54	Ruminococcaceae	Ruminococcaceae (OTU54)
Otu00055	OTU55	Lactobacillus	Lactobacillus (OTU55)
Otu00056	OTU56	Parasutterella	Parasutterella (OTU56)
Otu00057	OTU57	Fusobacterium	Fusobacterium (OTU57)
Otu00058	OTU58	Parabacteroides	Parabacteroides (OTU58)
Otu00059	OTU59	Bacteroides	Bacteroides (OTU59)
Otu00060	OTU60	Acidaminococcaceae	Acidaminococcaceae (OTU60)
Otu00061	OTU61	Barnesiella	Barnesiella (OTU61)
Otu00062	OTU62	Ruminococcus2	Ruminococcus2 (OTU62)
Otu00063	OTU63	Prevotella	Prevotella (OTU63)
Otu00064	OTU64	Ruminococcaceae	Ruminococcaceae (OTU64)
Otu00065	OTU65	Coprococcus	Coprococcus (OTU65)
Otu00066	OTU66	Roseburia	Roseburia (OTU66)
Otu00067	OTU67	Streptococcus	Streptococcus (OTU67)
Otu00068	OTU68	Blautia	Blautia (OTU68)
Otu00069	OTU69	Ruminococcus	Ruminococcus (OTU69)
Otu00070	OTU70	Bacteroides	Bacteroides (OTU70)
Otu00071	OTU71	Ruminococcaceae	Ruminococcaceae (OTU71)
Otu00072	OTU72	Pediococcus	Pediococcus (OTU72)
Otu00073	OTU73	Clostridium_XlVa	Clostridium_XlVa (OTU73)
Otu00074	OTU74	Clostridium_XlVa	Clostridium_XlVa (OTU74)
Otu00075	OTU75	Morganella	Morganella (OTU75)
Otu00076	OTU76	Lachnospiraceae	Lachnospiraceae (OTU76)
Otu00077	OTU77	Lactobacillus	Lactobacillus (OTU77)
Otu00078	OTU78	Sutterella	Sutterella (OTU78)
Otu00079	OTU79	Clostridium_XlVa	Clostridium_XlVa (OTU79)
Otu00080	OTU80	Odoribacter	Odoribacter (OTU80)
Otu00081	OTU81	Clostridium_sensu_stricto	Clostridium_sensu_stricto (OTU81)
Otu00082	OTU82	Veillonellaceae	Veillonellaceae (OTU82)
Otu00083	OTU83	Lachnospiraceae	Lachnospiraceae (OTU83)
Otu00084	OTU84	Proteus	Proteus (OTU84)
Otu00085	OTU85	Lactobacillus	Lactobacillus (OTU85)
Otu00086	OTU86	Lachnospiraceae	Lachnospiraceae (OTU86)
Otu00087	OTU87	Lachnospiraceae	Lachnospiraceae (OTU87)
Otu00088	OTU88	Ruminococcaceae	Ruminococcaceae (OTU88)
Otu00089	OTU89	Clostridium_XVIII	Clostridium_XVIII (OTU89)
Otu00090	OTU90	Dorea	Dorea (OTU90)
Otu00091	OTU91	Turicibacter	Turicibacter (OTU91)
Otu00092	OTU92	Clostridiales	Clostridiales (OTU92)
Otu00093	OTU93	Clostridium_XVIII	Clostridium_XVIII (OTU93)
Otu00094	OTU94	Lachnospiraceae	Lachnospiraceae (OTU94)
Otu00095	OTU95	Dialister	Dialister (OTU95)
Otu00096	OTU96	Flavonifractor	Flavonifractor (OTU96)
Otu00097	OTU97	Clostridium_XlVa	Clostridium_XlVa (OTU97)
Otu00098	OTU98	Bacteroides	Bacteroides (OTU98)
Otu00099	OTU99	Anaeroglobus	Anaeroglobus (OTU99)
Otu00100	OTU100	Ruminococcaceae	Ruminococcaceae (OTU100)
Otu00101	OTU101	Paraprevotella	Paraprevotella (OTU101)
Otu00102	OTU102	Sutterella	Sutterella (OTU102)
Otu00103	OTU103	Veillonella	Veillonella (OTU103)
Otu00104	OTU104	Lachnospiraceae	Lachnospiraceae (OTU104)
Otu00105	OTU105	Ruminococcaceae	Ruminococcaceae (OTU105)
Otu00106	OTU106	Paraprevotella	Paraprevotella (OTU106)
Otu00107	OTU107	Lachnospiraceae	Lachnospiraceae (OTU107)
Otu00108	OTU108	Clostridium_XlVb	Clostridium_XlVb (OTU108)
Otu00109	OTU109	Bilophila	Bilophila (OTU109)
Otu00110	OTU110	Bacteroides	Bacteroides (OTU110)
Otu00111	OTU111	Prevotella	Prevotella (OTU111)
Otu00112	OTU112	Lachnospiraceae	Lachnospiraceae (OTU112)
Otu00113	OTU113	Lachnospiraceae	Lachnospiraceae (OTU113)
Otu00114	OTU114	Lachnospiraceae	Lachnospiraceae (OTU114)
Otu00115	OTU115	Succiniclasticum	Succiniclasticum (OTU115)
Otu00116	OTU116	Porphyromonas	Porphyromonas (OTU116)
Otu00117	OTU117	Lachnospiraceae	Lachnospiraceae (OTU117)
Otu00118	OTU118	Prevotella	Prevotella (OTU118)
Otu00119	OTU119	Fusobacterium	Fusobacterium (OTU119)
Otu00120	OTU120	Bacteroidetes	Bacteroidetes (OTU120)
Otu00121	OTU121	Pyramidobacter	Pyramidobacter (OTU121)
Otu00122	OTU122	Clostridium_sensu_stricto	Clostridium_sensu_stricto (OTU122)
Otu00123	OTU123	Lachnospiraceae	Lachnospiraceae (OTU123)
Otu00124	OTU124	Blautia	Blautia (OTU124)
Otu00125	OTU125	Enterobacteriaceae	Enterobacteriaceae (OTU125)
Otu00126	OTU126	Staphylococcus	Staphylococcus (OTU126)
Otu00127	OTU127	Sarcina	Sarcina (OTU127)
Otu00128	OTU128	Collinsella	Collinsella (OTU128)
Otu00129	OTU129	Prevotella	Prevotella (OTU129)
Otu00130	OTU130	Ruminococcaceae	Ruminococcaceae (OTU130)
Otu00131	OTU131	Lachnospiraceae	Lachnospiraceae (OTU131)
Otu00132	OTU132	Ruminococcaceae	Ruminococcaceae (OTU132)
Otu00133	OTU133	Prevotella	Prevotella (OTU133)
Otu00134	OTU134	Clostridium_XlVa	Clostridium_XlVa (OTU134)
Otu00135	OTU135	Pasteurellaceae	Pasteurellaceae (OTU135)
Otu00136	OTU136	Oscillibacter	Oscillibacter (OTU136)
Otu00137	OTU137	Bacteroides	Bacteroides (OTU137)
Otu00138	OTU138	Olsenella	Olsenella (OTU138)
Otu00139	OTU139	Bacteroides	Bacteroides (OTU139)
Otu00140	OTU140	Lactococcus	Lactococcus (OTU140)
Otu00141	OTU141	Lachnospiraceae	Lachnospiraceae (OTU141)
Otu00142	OTU142	Lactobacillus	Lactobacillus (OTU142)
Otu00143	OTU143	Ruminococcaceae	Ruminococcaceae (OTU143)
Otu00144	OTU144	Eggerthella	Eggerthella (OTU144)
Otu00145	OTU145	Firmicutes	Firmicutes (OTU145)
Otu00146	OTU146	Cetobacterium	Cetobacterium (OTU146)
Otu00147	OTU147	Clostridium_IV	Clostridium_IV (OTU147)
Otu00148	OTU148	Blautia	Blautia (OTU148)
Otu00149	OTU149	Clostridiales	Clostridiales (OTU149)
Otu00150	OTU150	Lachnospiraceae	Lachnospiraceae (OTU150)
Otu00151	OTU151	Clostridium_XlVa	Clostridium_XlVa (OTU151)
Otu00152	OTU152	Lachnospiraceae	Lachnospiraceae (OTU152)
Otu00153	OTU153	Ruminococcaceae	Ruminococcaceae (OTU153)
Otu00154	OTU154	Clostridiales	Clostridiales (OTU154)
Otu00155	OTU155	Clostridiales	Clostridiales (OTU155)
Otu00156	OTU156	Lachnospiraceae	Lachnospiraceae (OTU156)
Otu00157	OTU157	Clostridium_XlVa	Clostridium_XlVa (OTU157)
Otu00158	OTU158	Clostridiales	Clostridiales (OTU158)
Otu00159	OTU159	Clostridiales	Clostridiales (OTU159)
Otu00160	OTU160	Butyricimonas	Butyricimonas (OTU160)
Otu00161	OTU161	Ruminococcus	Ruminococcus (OTU161)
Otu00162	OTU162	Clostridium_IV	Clostridium_IV (OTU162)
Otu00163	OTU163	Clostridium_IV	Clostridium_IV (OTU163)
Otu00164	OTU164	Peptostreptococcus	Peptostreptococcus (OTU164)
Otu00165	OTU165	Lachnospiraceae	Lachnospiraceae (OTU165)
Otu00166	OTU166	Allisonella	Allisonella (OTU166)
Otu00167	OTU167	Ruminococcaceae	Ruminococcaceae (OTU167)
Otu00168	OTU168	Bacteroidales	Bacteroidales (OTU168)
Otu00169	OTU169	Ruminococcaceae	Ruminococcaceae (OTU169)
Otu00170	OTU170	Alloprevotella	Alloprevotella (OTU170)
Otu00171	OTU171	Prevotella	Prevotella (OTU171)
Otu00172	OTU172	Alistipes	Alistipes (OTU172)
Otu00173	OTU173	Parvimonas	Parvimonas (OTU173)
Otu00174	OTU174	Actinomyces	Actinomyces (OTU174)
Otu00175	OTU175	Clostridium_XlVb	Clostridium_XlVb (OTU175)
Otu00176	OTU176	Clostridium_XI	Clostridium_XI (OTU176)
Otu00177	OTU177	Erysipelotrichaceae	Erysipelotrichaceae (OTU177)
Otu00178	OTU178	Acidaminococcaceae	Acidaminococcaceae (OTU178)
Otu00179	OTU179	Firmicutes	Firmicutes (OTU179)
Otu00180	OTU180	Burkholderiales	Burkholderiales (OTU180)
Otu00181	OTU181	Oscillibacter	Oscillibacter (OTU181)
Otu00182	OTU182	Fusobacteriaceae	Fusobacteriaceae (OTU182)
Otu00183	OTU183	Bacteria	Bacteria (OTU183)
Otu00184	OTU184	Desulfovibrio	Desulfovibrio (OTU184)
Otu00185	OTU185	Ruminococcus	Ruminococcus (OTU185)
Otu00186	OTU186	Lachnospiraceae	Lachnospiraceae (OTU186)
Otu00187	OTU187	Ruminococcaceae	Ruminococcaceae (OTU187)
Otu00188	OTU188	Anaerostipes	Anaerostipes (OTU188)
Otu00189	OTU189	Coprococcus	Coprococcus (OTU189)
Otu00190	OTU190	Collinsella	Collinsella (OTU190)
Otu00191	OTU191	Porphyromonas	Porphyromonas (OTU191)
Otu00192	OTU192	Dialister	Dialister (OTU192)
Otu00193	OTU193	Parabacteroides	Parabacteroides (OTU193)
Otu00194	OTU194	Veillonellaceae	Veillonellaceae (OTU194)
Otu00195	OTU195	Pyramidobacter	Pyramidobacter (OTU195)
Otu00196	OTU196	Ruminococcaceae	Ruminococcaceae (OTU196)
Otu00197	OTU197	Ruminococcaceae	Ruminococcaceae (OTU197)
Otu00198	OTU198	Ruminococcaceae	Ruminococcaceae (OTU198)
Otu00199	OTU199	Lachnospiraceae	Lachnospiraceae (OTU199)
Otu00200	OTU200	Prevotellaceae	Prevotellaceae (OTU200)
Otu00201	OTU201	Clostridium_XVIII	Clostridium_XVIII (OTU201)
Otu00202	OTU202	Bacteroides	Bacteroides (OTU202)
Otu00203	OTU203	Megasphaera	Megasphaera (OTU203)
Otu00204	OTU204	Clostridium_XlVb	Clostridium_XlVb (OTU204)
Otu00205	OTU205	Ruminococcaceae	Ruminococcaceae (OTU205)
Otu00206	OTU206	Lachnospiraceae	Lachnospiraceae (OTU206)
Otu00207	OTU207	Parabacteroides	Parabacteroides (OTU207)
Otu00208	OTU208	Lactobacillus	Lactobacillus (OTU208)
Otu00209	OTU209	Gemella	Gemella (OTU209)
Otu00210	OTU210	Clostridium_XI	Clostridium_XI (OTU210)
Otu00211	OTU211	Proteobacteria	Proteobacteria (OTU211)
Otu00212	OTU212	Ruminococcaceae	Ruminococcaceae (OTU212)
Otu00213	OTU213	Coprococcus	Coprococcus (OTU213)
Otu00214	OTU214	Atopobium	Atopobium (OTU214)
Otu00215	OTU215	Lachnospiraceae	Lachnospiraceae (OTU215)
Otu00216	OTU216	Clostridiales	Clostridiales (OTU216)
Otu00217	OTU217	Ruminococcaceae	Ruminococcaceae (OTU217)
Otu00218	OTU218	Porphyromonadaceae	Porphyromonadaceae (OTU218)
Otu00219	OTU219	Prevotella	Prevotella (OTU219)
Otu00220	OTU220	Lachnospiraceae	Lachnospiraceae (OTU220)
Otu00221	OTU221	Ruminococcaceae	Ruminococcaceae (OTU221)
Otu00222	OTU222	Clostridium_IV	Clostridium_IV (OTU222)
Otu00223	OTU223	Slackia	Slackia (OTU223)
Otu00224	OTU224	Prevotella	Prevotella (OTU224)
Otu00225	OTU225	Asaccharobacter	Asaccharobacter (OTU225)
Otu00226	OTU226	Sporobacter	Sporobacter (OTU226)
Otu00227	OTU227	Porphyromonadaceae	Porphyromonadaceae (OTU227)
Otu00228	OTU228	Lachnospiraceae	Lachnospiraceae (OTU228)
Otu00229	OTU229	Bacteria	Bacteria (OTU229)
Otu00230	OTU230	Clostridiales	Clostridiales (OTU230)
Otu00231	OTU231	Mitsuokella	Mitsuokella (OTU231)
Otu00232	OTU232	Lachnospiraceae	Lachnospiraceae (OTU232)
Otu00233	OTU233	Succiniclasticum	Succiniclasticum (OTU233)
Otu00234	OTU234	Lactobacillales	Lactobacillales (OTU234)
Otu00235	OTU235	Ruminococcaceae	Ruminococcaceae (OTU235)
Otu00236	OTU236	Prevotella	Prevotella (OTU236)
Otu00237	OTU237	Prevotella	Prevotella (OTU237)
Otu00238	OTU238	Enterorhabdus	Enterorhabdus (OTU238)
Otu00239	OTU239	Atopobium	Atopobium (OTU239)
Otu00240	OTU240	Coriobacteriaceae	Coriobacteriaceae (OTU240)
Otu00241	OTU241	Catenibacterium	Catenibacterium (OTU241)
Otu00242	OTU242	Burkholderiales	Burkholderiales (OTU242)
Otu00243	OTU243	Cellulosilyticum	Cellulosilyticum (OTU243)
Otu00244	OTU244	Ruminococcaceae	Ruminococcaceae (OTU244)
Otu00245	OTU245	Prevotella	Prevotella (OTU245)
Otu00246	OTU246	Blautia	Blautia (OTU246)
Otu00247	OTU247	Bacteria	Bacteria (OTU247)
Otu00248	OTU248	Bacteria	Bacteria (OTU248)
Otu00249	OTU249	Bacteroides	Bacteroides (OTU249)
Otu00250	OTU250	Lactobacillus	Lactobacillus (OTU250)
Otu00251	OTU251	Anaerococcus	Anaerococcus (OTU251)
Otu00252	OTU252	Coprococcus	Coprococcus (OTU252)
Otu00253	OTU253	Clostridium_sensu_stricto	Clostridium_sensu_stricto (OTU253)
Otu00254	OTU254	Neisseria	Neisseria (OTU254)
Otu00255	OTU255	Lachnospiraceae	Lachnospiraceae (OTU255)
Otu00256	OTU256	Odoribacter	Odoribacter (OTU256)
Otu00257	OTU257	Lactobacillus	Lactobacillus (OTU257)
Otu00258	OTU258	Lachnospiraceae	Lachnospiraceae (OTU258)
Otu00259	OTU259	Ruminococcus	Ruminococcus (OTU259)
Otu00260	OTU260	Clostridiales	Clostridiales (OTU260)
Otu00261	OTU261	Lachnospiraceae	Lachnospiraceae (OTU261)
Otu00262	OTU262	Alloprevotella	Alloprevotella (OTU262)
Otu00263	OTU263	Alistipes	Alistipes (OTU263)
Otu00264	OTU264	Ruminococcaceae	Ruminococcaceae (OTU264)
Otu00265	OTU265	Lachnospiraceae	Lachnospiraceae (OTU265)
Otu00266	OTU266	Porphyromonas	Porphyromonas (OTU266)
Otu00267	OTU267	Clostridiales	Clostridiales (OTU267)
Otu00268	OTU268	Ruminococcaceae	Ruminococcaceae (OTU268)
Otu00269	OTU269	Burkholderiales	Burkholderiales (OTU269)
Otu00270	OTU270	Lachnospiraceae	Lachnospiraceae (OTU270)
Otu00271	OTU271	Pseudomonas	Pseudomonas (OTU271)
Otu00272	OTU272	Lactobacillales	Lactobacillales (OTU272)
Otu00273	OTU273	Peptoniphilus	Peptoniphilus (OTU273)
Otu00274	OTU274	Betaproteobacteria	Betaproteobacteria (OTU274)
Otu00275	OTU275	Proteobacteria	Proteobacteria (OTU275)
Otu00276	OTU276	Proteobacteria	Proteobacteria (OTU276)
Otu00277	OTU277	Betaproteobacteria	Betaproteobacteria (OTU277)
Otu00278	OTU278	Prevotella	Prevotella (OTU278)
Otu00279	OTU279	Rothia	Rothia (OTU279)
Otu00280	OTU280	Leptotrichiaceae	Leptotrichiaceae (OTU280)
Otu00281	OTU281	Paraprevotella	Paraprevotella (OTU281)
Otu00282	OTU282	Ruminococcaceae	Ruminococcaceae (OTU282)
Otu00283	OTU283	Bacteria	Bacteria (OTU283)
Otu00284	OTU284	Succinivibrio	Succinivibrio (OTU284)
Otu00285	OTU285	Oscillibacter	Oscillibacter (OTU285)
Otu00286	OTU286	Mogibacterium	Mogibacterium (OTU286)
Otu00287	OTU287	Ruminococcaceae	Ruminococcaceae (OTU287)
Otu00288	OTU288	Clostridiales	Clostridiales (OTU288)
Otu00289	OTU289	Porphyromonadaceae	Porphyromonadaceae (OTU289)
Otu00290	OTU290	Olsenella	Olsenella (OTU290)
Otu00291	OTU291	Campylobacter	Campylobacter (OTU291)
Otu00292	OTU292	Weissella	Weissella (OTU292)
Otu00293	OTU293	Clostridiales	Clostridiales (OTU293)
Otu00294	OTU294	Bacteria	Bacteria (OTU294)
Otu00295	OTU295	Firmicutes	Firmicutes (OTU295)
Otu00296	OTU296	Clostridium_XI	Clostridium_XI (OTU296)
Otu00297	OTU297	Coriobacteriaceae	Coriobacteriaceae (OTU297)
Otu00298	OTU298	Ruminococcaceae	Ruminococcaceae (OTU298)
Otu00299	OTU299	Porphyromonadaceae	Porphyromonadaceae (OTU299)
Otu00300	OTU300	Streptococcus	Streptococcus (OTU300)
Otu00301	OTU301	Lachnospiraceae	Lachnospiraceae (OTU301)
Otu00302	OTU302	Oscillibacter	Oscillibacter (OTU302)
Otu00303	OTU303	Lachnospiraceae	Lachnospiraceae (OTU303)
Otu00304	OTU304	Firmicutes	Firmicutes (OTU304)
Otu00305	OTU305	Clostridiales	Clostridiales (OTU305)
Otu00306	OTU306	Prevotellaceae	Prevotellaceae (OTU306)
Otu00307	OTU307	Clostridiales	Clostridiales (OTU307)
Otu00308	OTU308	Clostridium_XlVb	Clostridium_XlVb (OTU308)
Otu00309	OTU309	Firmicutes	Firmicutes (OTU309)
Otu00310	OTU310	Oscillibacter	Oscillibacter (OTU310)
Otu00311	OTU311	Ruminococcaceae	Ruminococcaceae (OTU311)
Otu00312	OTU312	Selenomonas	Selenomonas (OTU312)
Otu00313	OTU313	Prevotella	Prevotella (OTU313)
Otu00314	OTU314	Ruminococcaceae	Ruminococcaceae (OTU314)
Otu00315	OTU315	Streptococcus	Streptococcus (OTU315)
Otu00316	OTU316	Prevotellaceae	Prevotellaceae (OTU316)
Otu00317	OTU317	Clostridiales	Clostridiales (OTU317)
Otu00318	OTU318	Alloprevotella	Alloprevotella (OTU318)
Otu00319	OTU319	Blautia	Blautia (OTU319)
Otu00320	OTU320	Ruminococcaceae	Ruminococcaceae (OTU320)
Otu00321	OTU321	Clostridiales	Clostridiales (OTU321)
Otu00322	OTU322	Ruminococcus	Ruminococcus (OTU322)
Otu00323	OTU323	Dialister	Dialister (OTU323)
Otu00324	OTU324	Erysipelotrichaceae	Erysipelotrichaceae (OTU324)
Otu00325	OTU325	Alistipes	Alistipes (OTU325)
Otu00326	OTU326	Prevotella	Prevotella (OTU326)
Otu00327	OTU327	Bacteria	Bacteria (OTU327)
Otu00328	OTU328	Eggerthella	Eggerthella (OTU328)
Otu00329	OTU329	Coprobacillus	Coprobacillus (OTU329)
Otu00330	OTU330	Clostridiales	Clostridiales (OTU330)
Otu00331	OTU331	Veillonella	Veillonella (OTU331)
Otu00332	OTU332	Dysgonomonas	Dysgonomonas (OTU332)
Otu00333	OTU333	Lachnospiraceae	Lachnospiraceae (OTU333)
Otu00334	OTU334	Clostridiales	Clostridiales (OTU334)
Otu00335	OTU335	Lachnospiraceae	Lachnospiraceae (OTU335)
Otu00336	OTU336	Prevotella	Prevotella (OTU336)
Otu00337	OTU337	Firmicutes	Firmicutes (OTU337)
Otu00338	OTU338	Barnesiella	Barnesiella (OTU338)
Otu00339	OTU339	Bacteria	Bacteria (OTU339)
Otu00340	OTU340	Proteobacteria	Proteobacteria (OTU340)
Otu00341	OTU341	Bacteroides	Bacteroides (OTU341)
Otu00342	OTU342	Oscillibacter	Oscillibacter (OTU342)
Otu00343	OTU343	Actinomyces	Actinomyces (OTU343)
Otu00344	OTU344	Bacteria	Bacteria (OTU344)
Otu00345	OTU345	Erysipelotrichaceae	Erysipelotrichaceae (OTU345)
Otu00346	OTU346	Actinomyces	Actinomyces (OTU346)
Otu00347	OTU347	Alistipes	Alistipes (OTU347)
Otu00348	OTU348	Lactobacillus	Lactobacillus (OTU348)
Otu00349	OTU349	Alistipes	Alistipes (OTU349)
Otu00350	OTU350	Ruminococcaceae	Ruminococcaceae (OTU350)
Otu00351	OTU351	Clostridium_IV	Clostridium_IV (OTU351)
Otu00352	OTU352	Selenomonas	Selenomonas (OTU352)
Otu00353	OTU353	Cloacibacillus	Cloacibacillus (OTU353)
Otu00354	OTU354	Coriobacteriaceae	Coriobacteriaceae (OTU354)
Otu00355	OTU355	Ruminococcaceae	Ruminococcaceae (OTU355)
Otu00356	OTU356	Lachnospiraceae	Lachnospiraceae (OTU356)
Otu00357	OTU357	Parasutterella	Parasutterella (OTU357)
Otu00358	OTU358	Peptococcus	Peptococcus (OTU358)
Otu00359	OTU359	Ruminococcaceae	Ruminococcaceae (OTU359)
Otu00360	OTU360	Ruminococcaceae	Ruminococcaceae (OTU360)
Otu00361	OTU361	Blautia	Blautia (OTU361)
Otu00362	OTU362	Clostridium_sensu_stricto	Clostridium_sensu_stricto (OTU362)
Otu00363	OTU363	Holdemania	Holdemania (OTU363)
Otu00364	OTU364	Butyricicoccus	Butyricicoccus (OTU364)
Otu00365	OTU365	Anaerotruncus	Anaerotruncus (OTU365)
Otu00366	OTU366	Slackia	Slackia (OTU366)
Otu00367	OTU367	Hallella	Hallella (OTU367)
Otu00368	OTU368	Prevotellaceae	Prevotellaceae (OTU368)
Otu00369	OTU369	Clostridiales	Clostridiales (OTU369)
Otu00370	OTU370	Gardnerella	Gardnerella (OTU370)
Otu00371	OTU371	Prevotella	Prevotella (OTU371)
Otu00372	OTU372	Ruminococcaceae	Ruminococcaceae (OTU372)
Otu00373	OTU373	Gordonibacter	Gordonibacter (OTU373)
Otu00374	OTU374	Bacteria	Bacteria (OTU374)
Otu00375	OTU375	Bacteroidetes	Bacteroidetes (OTU375)
Otu00376	OTU376	Pseudoflavonifractor	Pseudoflavonifractor (OTU376)
Otu00377	OTU377	Pyramidobacter	Pyramidobacter (OTU377)
Otu00378	OTU378	Clostridiales	Clostridiales (OTU378)
Otu00379	OTU379	Coriobacteriaceae	Coriobacteriaceae (OTU379)
Otu00380	OTU380	Campylobacter	Campylobacter (OTU380)
Otu00381	OTU381	Campylobacter	Campylobacter (OTU381)
Otu00382	OTU382	Eubacterium	Eubacterium (OTU382)
Otu00383	OTU383	Peptoniphilus	Peptoniphilus (OTU383)
Otu00384	OTU384	Ruminococcus	Ruminococcus (OTU384)
Otu00385	OTU385	Bacteroides	Bacteroides (OTU385)
Otu00386	OTU386	Lachnospiraceae	Lachnospiraceae (OTU386)
Otu00387	OTU387	Lachnospiraceae	Lachnospiraceae (OTU387)
Otu00388	OTU388	Lactobacillaceae	Lactobacillaceae (OTU388)
Otu00389	OTU389	Murdochiella	Murdochiella (OTU389)
Otu00390	OTU390	Clostridiales	Clostridiales (OTU390)
Otu00391	OTU391	Clostridium_XlVa	Clostridium_XlVa (OTU391)
Otu00392	OTU392	Bacteroidetes	Bacteroidetes (OTU392)
Otu00393	OTU393	Mogibacterium	Mogibacterium (OTU393)
Otu00394	OTU394	Megasphaera	Megasphaera (OTU394)
Otu00395	OTU395	Bacteria	Bacteria (OTU395)
Otu00396	OTU396	Finegoldia	Finegoldia (OTU396)
Otu00397	OTU397	Clostridiales	Clostridiales (OTU397)
Otu00398	OTU398	Blautia	Blautia (OTU398)
Otu00399	OTU399	Clostridium_IV	Clostridium_IV (OTU399)
Otu00400	OTU400	Selenomonas	Selenomonas (OTU400)
Otu00401	OTU401	Alistipes	Alistipes (OTU401)
Otu00402	OTU402	Collinsella	Collinsella (OTU402)
Otu00403	OTU403	Prevotella	Prevotella (OTU403)
Otu00404	OTU404	Bacteroides	Bacteroides (OTU404)
Otu00405	OTU405	Clostridiales	Clostridiales (OTU405)
Otu00406	OTU406	Ruminococcaceae	Ruminococcaceae (OTU406)
Otu00407	OTU407	Howardella	Howardella (OTU407)
Otu00408	OTU408	Bacteroides	Bacteroides (OTU408)
Otu00409	OTU409	Lachnospiraceae	Lachnospiraceae (OTU409)
Otu00410	OTU410	Porphyromonadaceae	Porphyromonadaceae (OTU410)
Otu00411	OTU411	Oscillibacter	Oscillibacter (OTU411)
Otu00412	OTU412	Bacteria	Bacteria (OTU412)
Otu00413	OTU413	Lachnospiraceae	Lachnospiraceae (OTU413)
Otu00414	OTU414	Lachnospiraceae	Lachnospiraceae (OTU414)
Otu00415	OTU415	Lactobacillus	Lactobacillus (OTU415)
Otu00416	OTU416	Firmicutes	Firmicutes (OTU416)
Otu00417	OTU417	Lachnospiraceae	Lachnospiraceae (OTU417)
Otu00418	OTU418	Firmicutes	Firmicutes (OTU418)
